Date,IncidenceOfAsthma,PrevalenceOfAsthma
2015-01-01,23,59
2015-01-02,4,23
2015-01-03,0,1
2015-01-04,1,2
2015-01-05,7,42
2015-01-06,2,32
2015-01-07,1,29
2015-01-08,2,23
2015-01-09,5,20
2015-01-10,0,1
2015-01-11,0,0
2015-01-12,4,33
2015-01-13,3,25
2015-01-14,1,27
2015-01-15,5,22
2015-01-16,0,22
2015-01-17,0,0
2015-01-18,0,1
2015-01-19,2,32
2015-01-20,1,18
2015-01-21,3,21
2015-01-22,2,19
2015-01-23,3,28
2015-01-24,0,0
2015-01-25,1,1
2015-01-26,3,30
2015-01-27,4,22
2015-01-28,4,22
2015-01-29,0,23
2015-01-30,1,14
2015-01-31,0,2
2015-02-01,0,3
2015-02-02,4,26
2015-02-03,2,28
2015-02-04,7,26
2015-02-05,3,30
2015-02-06,1,15
2015-02-07,0,0
2015-02-08,0,0
2015-02-09,2,35
2015-02-10,3,30
2015-02-11,4,33
2015-02-12,2,23
2015-02-13,4,23
2015-02-14,0,2
2015-02-15,1,1
2015-02-16,1,19
2015-02-17,2,24
2015-02-18,2,24
2015-02-19,4,23
2015-02-20,5,31
2015-02-21,0,1
2015-02-22,0,1
2015-02-23,2,29
2015-02-24,3,40
2015-02-25,2,26
2015-02-26,3,21
2015-02-27,3,27
2015-02-28,0,2
2015-03-01,0,1
2015-03-02,3,39
2015-03-03,0,18
2015-03-04,4,27
2015-03-05,6,26
2015-03-06,0,23
2015-03-07,0,0
2015-03-08,0,1
2015-03-09,6,40
2015-03-10,1,26
2015-03-11,4,29
2015-03-12,2,19
2015-03-13,2,12
2015-03-14,0,0
2015-03-15,0,2
2015-03-16,1,29
2015-03-17,1,20
2015-03-18,1,19
2015-03-19,4,15
2015-03-20,1,10
2015-03-21,0,0
2015-03-22,0,0
2015-03-23,1,23
2015-03-24,2,23
2015-03-25,2,17
2015-03-26,5,28
2015-03-27,0,19
2015-03-28,0,0
2015-03-29,0,2
2015-03-30,1,30
2015-03-31,2,25
2015-04-01,2,22
2015-04-02,4,29
2015-04-03,0,1
2015-04-04,1,1
2015-04-05,0,0
2015-04-06,0,1
2015-04-07,4,32
2015-04-08,2,19
2015-04-09,2,26
2015-04-10,3,20
2015-04-11,0,1
2015-04-12,0,1
2015-04-13,3,16
2015-04-14,0,28
2015-04-15,1,16
2015-04-16,6,21
2015-04-17,6,16
2015-04-18,1,1
2015-04-19,0,0
2015-04-20,1,20
2015-04-21,5,27
2015-04-22,4,23
2015-04-23,2,16
2015-04-24,5,19
2015-04-25,0,0
2015-04-26,0,2
2015-04-27,0,24
2015-04-28,1,19
2015-04-29,1,21
2015-04-30,2,20
2015-05-01,8,25
2015-05-02,0,0
2015-05-03,1,1
2015-05-04,0,0
2015-05-05,1,27
2015-05-06,2,22
2015-05-07,4,27
2015-05-08,2,16
2015-05-09,0,3
2015-05-10,2,4
2015-05-11,1,29
2015-05-12,2,19
2015-05-13,5,23
2015-05-14,2,18
2015-05-15,4,9
2015-05-16,1,1
2015-05-17,0,1
2015-05-18,2,24
2015-05-19,4,22
2015-05-20,3,15
2015-05-21,6,20
2015-05-22,7,25
2015-05-23,0,0
2015-05-24,0,0
2015-05-25,1,1
2015-05-26,3,28
2015-05-27,2,25
2015-05-28,2,14
2015-05-29,0,16
2015-05-30,0,0
2015-05-31,0,0
2015-06-01,2,28
2015-06-02,3,27
2015-06-03,2,22
2015-06-04,7,23
2015-06-05,0,17
2015-06-06,0,0
2015-06-07,0,0
2015-06-08,4,27
2015-06-09,7,35
2015-06-10,3,27
2015-06-11,3,12
2015-06-12,2,15
2015-06-13,0,1
2015-06-14,0,0
2015-06-15,5,32
2015-06-16,4,22
2015-06-17,0,7
2015-06-18,5,14
2015-06-19,1,14
2015-06-20,0,0
2015-06-21,1,2
2015-06-22,2,24
2015-06-23,3,18
2015-06-24,4,21
2015-06-25,4,20
2015-06-26,5,17
2015-06-27,1,2
2015-06-28,1,2
2015-06-29,4,30
2015-06-30,2,20
2015-07-01,4,18
2015-07-02,5,26
2015-07-03,3,16
2015-07-04,0,1
2015-07-05,0,0
2015-07-06,3,21
2015-07-07,2,23
2015-07-08,3,17
2015-07-09,1,18
2015-07-10,2,10
2015-07-11,0,0
2015-07-12,0,0
2015-07-13,3,26
2015-07-14,3,18
2015-07-15,1,16
2015-07-16,1,12
2015-07-17,1,21
2015-07-18,0,1
2015-07-19,0,0
2015-07-20,4,31
2015-07-21,1,23
2015-07-22,2,17
2015-07-23,6,22
2015-07-24,2,22
2015-07-25,0,0
2015-07-26,0,0
2015-07-27,1,27
2015-07-28,4,26
2015-07-29,6,20
2015-07-30,1,14
2015-07-31,0,18
2015-08-01,1,1
2015-08-02,0,0
2015-08-03,5,27
2015-08-04,7,26
2015-08-05,2,18
2015-08-06,2,13
2015-08-07,3,13
2015-08-08,1,2
2015-08-09,1,2
2015-08-10,1,22
2015-08-11,3,21
2015-08-12,4,18
2015-08-13,4,21
2015-08-14,2,9
2015-08-15,1,1
2015-08-16,0,0
2015-08-17,3,24
2015-08-18,1,14
2015-08-19,1,11
2015-08-20,4,16
2015-08-21,3,15
2015-08-22,0,1
2015-08-23,0,0
2015-08-24,4,27
2015-08-25,3,21
2015-08-26,3,23
2015-08-27,1,14
2015-08-28,2,21
2015-08-29,0,0
2015-08-30,0,1
2015-08-31,1,2
2015-09-01,3,22
2015-09-02,1,15
2015-09-03,3,15
2015-09-04,3,8
2015-09-05,0,0
2015-09-06,0,0
2015-09-07,2,26
